param,open-search,class,description,type,astraea_eod_mapping,astraea_eod_query,aws_eos_mapping,aws_eos_query,creodias_mapping,creodias_query,earth_search_cog_mapping,earth_search_cog_query,earth_search_mapping,earth_search_query,mundi_mapping,mundi_query,onda_mapping,onda_query,peps_mapping,peps_query,scihub_mapping,scihub_query,sobloo_mapping,sobloo_query,theia_mapping,theia_query,usgs_mapping,usgs_query,usgs_satapi_aws_mapping,usgs_satapi_aws_query,wekeo_mapping,wekeo_query
cultivatedCover,,,,,,,,,$.properties.cultivatedCover,cultivatedCover,,,,,,,,,,,,,,,,,,,,,,
desertCover,,,,,,,,,$.properties.desertCover,desertCover,,,,,,,,,,,,,,,,,,,,,,
dissemination,yes,OpenSearch Parameters for Collection Search,"A string identifying the dissemination method (e.g. EUMETCast, EUMETCast-Europe, DataCentre)",String,,,,,,,,,,,eo:dissemination/text(),,,,,,,,,,,,,,,,,
doi,yes,OpenSearch Parameters for Collection Search,Digital Object Identifier identifying the product (see http://www.doi.org),String,"$.properties.""sci:doi""",,,,,,"$.properties.""sci:doi""",,"$.properties.""sci:doi""",,eo:doi/text(),,,,,,,,,,,,,,"$.properties.""sci:doi""",,,
dopplerFrequency,yes,,,,"$.properties.""sar:frequency_band""",,,,,,"$.properties.""sar:frequency_band""",,"$.properties.""sar:frequency_band""",,eo:dopplerFrequency/text(),,,,,,,,,,$.properties.dopplerFrequency,,,,"$.properties.""sar:frequency_band""",,,
downloadLink,,,,,%(base_uri)s/collections/{productType}/items/{id},,,,https://zipper.creodias.eu/download/{uid},,%(base_uri)s/collections/{productType}/items/{id},,%(base_uri)s/collections/{productType}/items/{id},,"ns:link[@rel=""enclosure""]/@href",,%(base_uri)s({uid})/$value,,$.properties.services.download.url,,,,%(base_uri)s/{uid},,$.properties.services.download.url,,,,%(base_uri)s/collections/{productType}/items/{id},,,
floodedCover,,,,,,,,,$.properties.floodedCover,floodedCover,,,,,,,,,,,,,,,,,,,,,,
forestCover,,,,,,,,,$.properties.forestCover,forestCover,,,,,,,,,,,,,,,,,,,,,,
frame,yes,,,,,,,,,,,,,,eo:frame/text(),,,,,,,,,,,,,,,,,
geometry,,,,,$.geometry,bbox={geometry.bounds#csv_list},$.dataGeometry,"{{""search"":{{""shape"": {geometry#to_geo_interface} }} }}",$.geometry,geometry={geometry#to_rounded_wkt},$.geometry,bbox=[{geometry.bounds#csv_list}],$.geometry,bbox=[{geometry.bounds#csv_list}],georss:box/text(),geometry={geometry#to_rounded_wkt},$.footprint,,$.geometry,geometry={geometry#to_rounded_wkt},,,$.md.geometry,gintersect={geometry#to_rounded_wkt},$.geometry,geometry={geometry#to_rounded_wkt},,,$.geometry,bbox=[{geometry.bounds#csv_list}],,
hasSecurityConstraints,yes,OpenSearch Parameters for Collection Search,"A string informing if the resource has any security constraints. Possible values: TRUE, FALSE",String,,,,,,,,,,,eo:hasSecurityConstraints/text(),,,,,,,,,,,,,,,,,
herbaceousCover,,,,,,,,,$.properties.herbaceousCover,herbaceousCover,,,,,,,,,,,,,,,,,,,,,,
highestLocation,yes,,,,,,,,,,,,,,eo:highestLocation/text(),,,,,,,,,,,,,,,,,
iceCover,,,,,,,,,$.properties.iceCover,iceCover,,,,,,,,,,,,,,,,,,,,,,
id,,,,,$.id,ids={id},,,{$.properties.title#remove_extension},productIdentifier=%{id#remove_extension}%,$.id,"ids=[""{id}""]",$.id,"ids=[""{id}""]",dc:identifier/text(),uid={id#remove_extension},{$.filename#remove_extension},,$.properties.productIdentifier,productIdentifier={id#remove_extension},,,$.data.identification.externalId,f=identification.externalId:eq:{id#remove_extension},$.properties.productIdentifier,,,,$.id,ids={id},dc:identifier/text(),
illuminationAzimuthAngle,yes,,,,"$.properties.""view:sun_azimuth""",,,,,,"$.properties.""view:sun_azimuth""",,"$.properties.""view:sun_azimuth""",,eo:illuminationAzimuthAngle/text(),,,,,,,,,,$.properties.illuminationAzimuthAngle,,,,"$.properties.""view:sun_azimuth""",,,
illuminationElevationAngle,yes,,,,"$.properties.""view:sun_elevation""",,,,,,"$.properties.""view:sun_elevation""",,"$.properties.""view:sun_elevation""",,eo:illuminationElevationAngle/text(),,,,,,,,,,$.properties.illuminationElevationAngle,,,,"$.properties.""view:sun_elevation""",,,
illuminationZenithAngle,yes,,,,,,,,,,,,,,eo:illuminationZenithAngle/text(),,,,,,,,,,$.properties.illuminationZenithAngle,,,,,,,
incidenceAngleVariation,yes,,,,,,,,,,,,,,eo:incidenceAngleVariation/text(),,,,,,,,,,$.properties.incidenceAngleVariation,,,,,,,
instrument,yes,OpenSearch Parameters for Collection Search,"A string identifying the instrument (e.g. MERIS, AATSR, ASAR, HRVIR. SAR).",String,$.properties.instruments,,,,$.properties.instrument,instrument,$.properties.instruments,,$.properties.instruments,,eo:instrument/text(),instrument,$.instrumentName,,$.properties.instrument,instrument,,,$.data.acquisition.sensorId,,$.properties.instrument,instrument,,,$.properties.instruments,,,
keyword,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,Commonly used word(s) or formalised word(s) or phrase(s) used to describe the subject.,String,,,,,$.properties.keywords,,,,,,eo:keyword/text(),,,,$.properties.keywords,,,,,,$.properties.keywords,,,,,,dc:subject[text()],
language,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,Language of the intellectual content of the metadata record,String ,,,,,,,,,,,eo:language/text(),,,,,,,,,,,,,,,,,
lineage,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,General explanation of the data producer’s knowledge about the lineage of a dataset.,String,,,,,,,,,,,eo:lineage/text(),,,,,,,,,,,,,,,,,
lowestLocation,yes,,,,,,,,,,,,,,eo:lowestLocation/text(),,,,,,,,,,,,,,,,,
