collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
S1_SAR_SLC,SENTINEL1,L1,,,,available,,,available,available,available,,,,,,,,available,available,,,available,,available,,,,,available
S2_MSI_L1C,SENTINEL2,L1,available,,,available,,,available,available,available,,,available,available,,,,available,available,,,available,,available,available,,,,available
S2_MSI_L2A,SENTINEL2,L2,available,,,available,,,available,available,available,,,,,,,,,,,,,available,available,,,,,available
S2_MSI_L2A_COG,SENTINEL2,L2,,,,,,,,,,,,available,,,,,,,,,,,,,,,,
S2_MSI_L2A_MAJA,SENTINEL2,L2,,,,,,,,,,,,,,,,,available,available,,,,,,,,,,
S2_MSI_L2B_MAJA_SNOW,SENTINEL2,L2,,,,,,,,,,,,,,,,,available,available,,,,,,,,,,
S2_MSI_L2B_MAJA_WATER,SENTINEL2,L2,,,,,,,,,,,,,,,,,available,available,,,,,,,,,,
S3_EFR,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_EFR_BC002,SENTINEL3,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_ERR,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_ERR_BC002,SENTINEL3,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_LAN,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,,,,,,,,,available,,,,,
S3_LAN_HY,SENTINEL3,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,available
S3_LAN_LI,SENTINEL3,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,available
S3_LAN_SI,SENTINEL3,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,available
S3_OLCI_L2LFR,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,,,,,,,,,available,,,,,available
S3_OLCI_L2LRR,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,,,,,,,,,available,,,,,available
S3_OLCI_L2WFR,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_OLCI_L2WFR_BC003,SENTINEL3,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_OLCI_L2WRR,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_OLCI_L2WRR_BC003,SENTINEL3,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_RAC,SENTINEL3,L1,,,,,,,,,,,,,,,,,,,,,,,available,,,,,
S3_SLSTR_L1RBT,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_SLSTR_L1RBT_BC003,SENTINEL3,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SLSTR_L1RBT_BC004,SENTINEL3,L1,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SLSTR_L2,SENTINEL3,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
S3_SLSTR_L2AOD,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,
S3_SLSTR_L2FRP,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,
S3_SLSTR_L2LST,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,,,,,,,,,available,,,,,
S3_SLSTR_L2WST,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,
S3_SLSTR_L2WST_BC003,SENTINEL3,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_SRA_1A_BC004,SENTINEL3,L1A,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA_1A_BC005,SENTINEL3,L1A,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA_1B_BC004,SENTINEL3,L1B,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA_1B_BC005,SENTINEL3,L1B,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA_A,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_SRA_BS,SENTINEL3,L1,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_SRA_BS_BC004,SENTINEL3,L1B,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SRA_BS_BC005,SENTINEL3,L1B,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_SY_AOD,SENTINEL3,L2,,,,available,,,available,available,,,,,,,,,,,,,,,available,,,,,
S3_SY_SYN,SENTINEL3,L2,,,,available,,,available,available,,,,,,,,,,,,,,,available,,,,,
S3_SY_V10,SENTINEL3,LEVEL-2W,,,,available,,,available,available,,,,,,,,,,,,,,,available,,,,,
S3_SY_VG1,SENTINEL3,LEVEL-2,,,,available,,,available,available,,,,,,,,,,,,,,,available,,,,,
S3_SY_VGP,SENTINEL3,LEVEL-2,,,,available,,,available,available,,,,,,,,,,,,,,,available,,,,,
S3_WAT,SENTINEL3,L2,,,,available,,,available,available,available,,,,,,available,,,,,,,,available,,,,,available
S3_WAT_BC004,SENTINEL3,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S3_WAT_BC005,SENTINEL3,L2,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
S5P_L1B_IR_ALL,SENTINEL5P,L1B,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
S5P_L1B_IR_SIR,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_IR_UVN,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD1,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD2,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD3,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD4,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD5,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD6,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD7,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L1B_RA_BD8,SENTINEL5P,L1B,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_AER_AI,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_AER_LH,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_CH4,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_CLOUD,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_CO,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_HCHO,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_IR_ALL,SENTINEL5P,L2,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
S5P_L2_NO2,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_NP_BD3,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_NP_BD6,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_NP_BD7,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_O3,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_O3_PR,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_O3_TCL,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S5P_L2_SO2,SENTINEL5P,L2,,,,available,,,available,available,,,,,,,,,,,,,,,,,,,,
S6_RADIO_OCCULTATION,Sentinel-6,L1B,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
SATELLITE_CARBON_DIOXIDE,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SATELLITE_FIRE_BURNED_AREA,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,available,
SATELLITE_METHANE,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SATELLITE_SEA_ICE_CONCENTRATION,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SATELLITE_SEA_ICE_EDGE_TYPE,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SATELLITE_SEA_ICE_THICKNESS,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SATELLITE_SEA_LEVEL_GLOBAL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_MONTHLY_PL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_MONTHLY_SL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_ORIGINAL_PL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_ORIGINAL_SL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_POSTPROCESSED_PL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SEASONAL_POSTPROCESSED_SL,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
SIS_HYDRO_MET_PROJ,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,,
TIGGE_CF_SFC,TIGGE,,,,,,,,,,,,,,,available,,,,,,,,,,,,,,
UERRA_EUROPE_SL,SURFEX,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
