collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
CLMS_CORINE,"Sentinel-2, LANDSAT, SPOT-4/5, IRS P6 LISS III",,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_DMP_333M,Sentinel-3,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_FAPAR_333M,Sentinel-3,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_FCOVER_333M,Sentinel-3,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_GDMP_333M,Sentinel-3,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_LAI_333M,Sentinel-3,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_NDVI_1KM_LTS,SPOT,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_GLO_NDVI_333M,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,available
CLMS_HRVPP_ST,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
CLMS_HRVPP_ST_LAEA,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
CLMS_HRVPP_VPP,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
CLMS_HRVPP_VPP_LAEA,Sentinel-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,available
CMIP6_CLIMATE_PROJECTIONS,CMIP6,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,
COP_DEM_GLO30_DGED,TerraSAR,,,,,,,,available,available,available,,,available,,,,,,,,,,,,,,,,available
COP_DEM_GLO30_DTED,TerraSAR,,,,,,,,available,available,available,,,,,,,,,,,,,,,,,,,available
COP_DEM_GLO90_DGED,TerraSAR,,,,,,,,available,available,available,,,available,,,,,,,,,,,,,,,,available
COP_DEM_GLO90_DTED,TerraSAR,,,,,,,,available,available,available,,,,,,,,,,,,,,,,,,,available
